2026-09-04 11:45:03 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 11:45:03 | INFO     | organigrama_extractor | Organigrama 'tmpa4vsmvcd.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 11:45:03 | INFO     | comparator | Comparación finalizada: 118 resultado(s) generado(s).
2026-09-04 11:45:03 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:46:41 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:46:41 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 11:46:41 | INFO     | excel_extractor | Excel 'tmp374cmsyn.xlsx': 117 registro(s) extraído(s).
2026-09-04 11:46:41 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 11:46:41 | INFO     | organigrama_extractor | Organigrama 'tmp83t69pp5.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 11:46:41 | INFO     | comparator | Comparación finalizada: 118 resultado(s) generado(s).
2026-09-04 11:46:41 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'RESUMEN DE MOVIMIENTOS': 1 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:47:28 | WARNING  | excel_extractor | Hoja 'RESUMEN DE MOVIMIENTOS': no se reconocieron encabezados; usando columnas fijas de respaldo (J/K).
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'COMPARATIVO DE NIVELES': 14 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'COMPARATIVO DE NIVELES': encabezados detectados en fila 3 (puesto=I, nivel=B)
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'COMPARATIVO POR UNIDAD ADMINIST': 2 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:47:28 | WARNING  | excel_extractor | Hoja 'COMPARATIVO POR UNIDAD ADMINIST': no se reconocieron encabezados; usando columnas fijas de respaldo (J/K).
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'Tabulador 2018': encabezados detectados en fila 1 (puesto=C, nivel=B)
2026-09-04 11:47:28 | INFO     | excel_extractor | Hoja 'Tabulador Central Vigente': encabezados detectados en fila 1 (puesto=B, nivel=A)
2026-09-04 11:47:28 | INFO     | excel_extractor | Excel 'tmp9_y7fq0h.xlsx': 88 registro(s) extraído(s).
2026-09-04 11:47:28 | INFO     | organigrama_extractor | Página 1: 20 caja(s) vectorial(es) detectada(s), 14 puesto(s) extraído(s).
2026-09-04 11:47:28 | INFO     | organigrama_extractor | Organigrama 'tmp4ru6j5v8.pdf': 14 registro(s) extraído(s) en total.
2026-09-04 11:47:28 | INFO     | comparator | Comparación finalizada: 102 resultado(s) generado(s).
2026-09-04 11:47:28 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:49:26 | WARNING  | excel_extractor | Hoja 'PUESTOS Y COSTO' no existe en el archivo, se omite.
2026-09-04 11:49:26 | INFO     | excel_extractor | Excel 'tmp9ay_5bg7.xlsx': 0 registro(s) extraído(s).
2026-09-04 11:49:27 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 11:49:27 | INFO     | organigrama_extractor | Organigrama 'tmpokewlx39.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 11:49:27 | INFO     | comparator | Comparación finalizada: 115 resultado(s) generado(s).
2026-09-04 11:49:27 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:49:35 | WARNING  | excel_extractor | Hoja 'PUESTOS Y COSTO' no existe en el archivo, se omite.
2026-09-04 11:49:35 | INFO     | excel_extractor | Excel 'tmppo5qvmu4.xlsx': 0 registro(s) extraído(s).
2026-09-04 11:49:35 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 11:49:35 | INFO     | organigrama_extractor | Organigrama 'tmpwethv5pt.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 11:49:35 | INFO     | comparator | Comparación finalizada: 115 resultado(s) generado(s).
2026-09-04 11:49:35 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
